Concept_ID,Concept,Division,Description
C001,Honesty,Aram,Truthfulness and integrity
C002,Compassion,Aram,Caring and helping others
C003,Gratitude,Aram,Being thankful
C004,Self-Control,Aram,Controlling emotions and desires
C005,Generosity,Aram,Giving without expecting returns
C006,Education,Porul,Learning and knowledge
C007,Wisdom,Porul,Good judgement
C008,Leadership,Porul,Leading others
C009,Justice,Porul,Fairness
C010,Responsibility,Porul,Accountability
C011,Hard Work,Porul,Diligence
C012,Friendship,Porul,Loyalty and trust
C013,Love,Inbam,Romantic affection
C014,Family,Inbam,Family relationships
C015,Emotional Balance,Inbam,Managing emotions
