"Scenario_ID","Image_Description"
"S001","A student is the main subject, shown inside a classroom. The student is practicing Tamil letter 'அ' on slate. Visible in the frame near the student: Tamil letter 'அ' on slate. The student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S002","An architect is the main subject, shown inside a construction site. The architect is reviewing foundation blueprints. Visible in the frame near the architect: foundation blueprints. The architect is positioned in the center of the frame, facing the camera at a natural angle. The setting is a construction site. The architect wears a hard hat, high-visibility vest, and work clothing. The image is framed as a medium shot, waist-up, centered on the subject. Overcast daylight illuminates the site evenly. Unfinished building structures and construction equipment are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S003","A child is the main subject, shown inside a home living room. The child is learning to tie shoelaces. Visible in the frame near the child: to tie shoelaces. The child is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The child wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S004","A student is the main subject, shown inside a classroom. The student is bowing to teacher. Visible in the frame near the student: to teacher. The student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S005","A doctor is the main subject, shown inside a hospital consultation room. The doctor is consulting senior colleague. Visible in the frame near the doctor: senior colleague. The doctor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The doctor wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S006","A child is the main subject, shown inside a home living room. The child is asking parent for help. Visible in the frame near the child: parent for help. The child is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The child wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S007","A youth is the main subject, shown inside a home living room. The youth is sitting cross- legged copying elder's hand position during meditation. Visible in the frame near the youth: cross- legged copying elder's hand position. The youth is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The youth wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S008","An intern is the main subject, shown inside a modern office. The intern is watching senior engineer type calmly at keyboard during network outage. Visible in the frame near the intern: senior engineer type calmly at keyboard. The intern is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The intern wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S009","A follower is the main subject, shown inside a hospital consultation room. The follower is imitating grandmother's patient vegetable chopping technique. Visible in the frame near the follower: grandmother's patient vegetable chopping technique. The follower is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The follower wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S010","A person is the main subject, shown inside an outdoor market street. The person is walking slowly past flower stall and garbage dump without changing facial expression. Visible in the frame near the person: slowly past flower stall and garbage dump. The person is positioned in the center of the frame, facing the camera at a natural angle. The setting is an outdoor market street. The person wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Bright midday daylight illuminates the street. Market stalls and passersby are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
